system:index,distance_to_permanent_water_m,event_date,event_id,event_type,flood_area_m2,flood_fraction,grid_center_lat,grid_center_lon,grid_id,label_method_version,observed_flooded,sentinel_post_id,sentinel_pre_id,.geo
"553,4210",264.9837942600141,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.027789406461906,72.87888944539421,"553,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[276500.0,2105000.0],[277000.0,2105000.0],[277000.0,2105500.0],[276500.0,2105500.0],[276500.0,2105000.0]]]}"
"554,4210",582.2205560547546,2018-07-19 01:02:53,EV_2018_07_19,flood,2898.762351989746,0.011595049407958984,19.027843873987614,72.88363756824737,"554,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[277000.0,2105000.0],[277500.0,2105000.0],[277500.0,2105500.0],[277000.0,2105500.0],[277000.0,2105000.0]]]}"
"555,4210",1808.0884757179756,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.027898219379985,72.88838570761379,"555,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[277500.0,2105000.0],[278000.0,2105000.0],[278000.0,2105500.0],[277500.0,2105500.0],[277500.0,2105000.0]]]}"
"556,4210",2277.5788354152974,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.027952443022503,72.89313386278404,"556,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[278000.0,2105000.0],[278500.0,2105000.0],[278500.0,2105500.0],[278000.0,2105500.0],[278000.0,2105000.0]]]}"
"557,4210",2294.2184841556154,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02800654497366,72.89788203416757,"557,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[278500.0,2105000.0],[279000.0,2105000.0],[279000.0,2105500.0],[278500.0,2105500.0],[278500.0,2105000.0]]]}"
"558,4210",2945.6346929240967,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02806052496316,72.90263022176474,"558,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[279000.0,2105000.0],[279500.0,2105000.0],[279500.0,2105500.0],[279000.0,2105500.0],[279000.0,2105000.0]]]}"
"559,4210",3442.745389676053,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02811438296589,72.90737842527786,"559,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[279500.0,2105000.0],[280000.0,2105000.0],[280000.0,2105500.0],[279500.0,2105500.0],[279500.0,2105000.0]]]}"
"560,4210",2869.509471180104,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02816811915961,72.91212664477786,"560,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[280000.0,2105000.0],[280500.0,2105000.0],[280500.0,2105500.0],[280000.0,2105500.0],[280000.0,2105000.0]]]}"
"561,4210",2171.674024683136,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.028221733599214,72.9168748801096,"561,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[280500.0,2105000.0],[281000.0,2105000.0],[281000.0,2105500.0],[280500.0,2105500.0],[280500.0,2105000.0]]]}"
"562,4210",881.4334041451158,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02827522601197,72.9216231314915,"562,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[281000.0,2105000.0],[281500.0,2105000.0],[281500.0,2105500.0],[281000.0,2105500.0],[281000.0,2105000.0]]]}"
"563,4210",865.9739028118901,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.028328596618124,72.92637139866333,"563,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[281500.0,2105000.0],[282000.0,2105000.0],[282000.0,2105500.0],[281500.0,2105500.0],[281500.0,2105000.0]]]}"
"564,4210",1938.4488507226554,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.028381845358197,72.93111968171847,"564,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[282000.0,2105000.0],[282500.0,2105000.0],[282500.0,2105500.0],[282000.0,2105500.0],[282000.0,2105000.0]]]}"
"565,4210",3200.868080712363,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.028434972231207,72.93586798067824,"565,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[282500.0,2105000.0],[283000.0,2105000.0],[283000.0,2105500.0],[282500.0,2105500.0],[282500.0,2105000.0]]]}"
"566,4210",3182.8751480330934,2018-07-19 01:02:53,EV_2018_07_19,flood,1599.4253158569336,0.006397701263427734,19.028487977250357,72.94061629516034,"566,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[283000.0,2105000.0],[283500.0,2105000.0],[283500.0,2105500.0],[283000.0,2105500.0],[283000.0,2105000.0]]]}"
"567,4210",2257.614951480878,2018-07-19 01:02:53,EV_2018_07_19,flood,2599.070640563965,0.01039628256225586,19.028540860441208,72.9453646254586,"567,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[283500.0,2105000.0],[284000.0,2105000.0],[284000.0,2105500.0],[283500.0,2105500.0],[283500.0,2105000.0]]]}"
"568,4210",1236.0640423006075,2018-07-19 01:02:53,EV_2018_07_19,flood,3698.702423095703,0.014794809692382813,19.028593621673018,72.95011297173514,"568,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[284000.0,2105000.0],[284500.0,2105000.0],[284500.0,2105500.0],[284000.0,2105500.0],[284000.0,2105000.0]]]}"
"569,4210",379.1667482613706,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.028646260929975,72.95486133328646,"569,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[284500.0,2105000.0],[285000.0,2105000.0],[285000.0,2105500.0],[284500.0,2105500.0],[284500.0,2105000.0]]]}"
"570,4210",293.93706419677085,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02869877845339,72.95960971057286,"570,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[285000.0,2105000.0],[285500.0,2105000.0],[285500.0,2105500.0],[285000.0,2105500.0],[285000.0,2105000.0]]]}"
"571,4210",1468.21230782201,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.028751174003858,72.96435810360013,"571,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[285500.0,2105000.0],[286000.0,2105000.0],[286000.0,2105500.0],[285500.0,2105500.0],[285500.0,2105000.0]]]}"
"572,4210",2837.4730530453567,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.028803447529903,72.96910651198137,"572,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[286000.0,2105000.0],[286500.0,2105000.0],[286500.0,2105500.0],[286000.0,2105500.0],[286000.0,2105000.0]]]}"
"573,4210",4257.829375406068,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02885559939415,72.97385493606349,"573,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[286500.0,2105000.0],[287000.0,2105000.0],[287000.0,2105500.0],[286500.0,2105500.0],[286500.0,2105000.0]]]}"
"574,4210",5371.122777755513,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.028907629370547,72.97860337538442,"574,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[287000.0,2105000.0],[287500.0,2105000.0],[287500.0,2105500.0],[287000.0,2105500.0],[287000.0,2105000.0]]]}"
"575,4210",4302.420076291591,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02895953727902,72.98335183032677,"575,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[287500.0,2105000.0],[288000.0,2105000.0],[288000.0,2105500.0],[287500.0,2105500.0],[287500.0,2105000.0]]]}"
"576,4210",2858.8599832143473,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.0290113234809,72.98810030063554,"576,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[288000.0,2105000.0],[288500.0,2105000.0],[288500.0,2105500.0],[288000.0,2105500.0],[288000.0,2105000.0]]]}"
"577,4210",1495.9881981319234,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,19.02906298759428,72.99284878634522,"577,4210",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[288500.0,2105000.0],[289000.0,2105000.0],[289000.0,2105500.0],[288500.0,2105500.0],[288500.0,2105000.0]]]}"
